Release Date,Reference Period,Actual (YoY %),Forecast (YoY %),Previous (YoY %)
13-Jan-2021,Dec 2020,1.3,1.3,1.2
10-Feb-2021,Jan 2021,1.4,1.5,1.3
10-Mar-2021,Feb 2021,1.7,1.7,1.4
13-Apr-2021,Mar 2021,2.6,2.6,1.7
12-May-2021,Apr 2021,4.2,3.6,2.6
10-Jun-2021,May 2021,5.0,4.7,4.2
13-Jul-2021,Jun 2021,5.4,4.9,5.0
11-Aug-2021,Jul 2021,5.4,5.3,5.4
14-Sep-2021,Aug 2021,5.3,5.3,5.4
13-Oct-2021,Sep 2021,5.4,5.3,5.3
10-Nov-2021,Oct 2021,6.2,5.8,5.4
10-Dec-2021,Nov 2021,6.8,6.7,6.2
12-Jan-2022,Dec 2021,7.0,6.8,6.8
10-Feb-2022,Jan 2022,7.5,7.2,7.0
10-Mar-2022,Feb 2022,7.9,7.8,7.5
12-Apr-2022,Mar 2022,8.5,8.4,7.9
11-May-2022,Apr 2022,8.3,8.1,8.5
10-Jun-2022,May 2022,8.6,8.3,8.3
13-Jul-2022,Jun 2022,9.1,8.8,8.6
10-Aug-2022,Jul 2022,8.5,8.7,9.1
13-Sep-2022,Aug 2022,8.3,8.1,8.5
13-Oct-2022,Sep 2022,8.2,8.1,8.3
10-Nov-2022,Oct 2022,7.7,7.9,8.2
13-Dec-2022,Nov 2022,7.1,7.3,7.7
12-Jan-2023,Dec 2022,6.5,6.5,7.1
14-Feb-2023,Jan 2023,6.4,6.2,6.5
14-Mar-2023,Feb 2023,6.0,6.0,6.4
12-Apr-2023,Mar 2023,5.0,5.1,6.0
10-May-2023,Apr 2023,4.9,5.0,5.0
13-Jun-2023,May 2023,4.0,4.1,4.9
12-Jul-2023,Jun 2023,3.0,3.1,4.0
10-Aug-2023,Jul 2023,3.2,3.3,3.0
13-Sep-2023,Aug 2023,3.7,3.6,3.2
12-Oct-2023,Sep 2023,3.7,3.7,3.7
14-Nov-2023,Oct 2023,3.2,3.3,3.7
12-Dec-2023,Nov 2023,3.1,3.1,3.2
11-Jan-2024,Dec 2023,3.4,3.2,3.1
13-Feb-2024,Jan 2024,3.1,2.9,3.4
12-Mar-2024,Feb 2024,3.2,3.1,3.1
10-Apr-2024,Mar 2024,3.5,3.4,3.2
15-May-2024,Apr 2024,3.4,3.4,3.5
12-Jun-2024,May 2024,3.3,3.4,3.4
11-Jul-2024,Jun 2024,3.0,3.1,3.3
14-Aug-2024,Jul 2024,2.9,3.0,3.0
11-Sep-2024,Aug 2024,2.5,2.6,2.9
10-Oct-2024,Sep 2024,2.4,2.3,2.5
13-Nov-2024,Oct 2024,2.6,2.6,2.4
11-Dec-2024,Nov 2024,2.7,2.7,2.6
15-Jan-2025,Dec 2024,2.7,2.8,2.7
12-Feb-2025,Jan 2025,3.0,2.9,2.7
12-Mar-2025,Feb 2025,2.8,2.9,3.0
10-Apr-2025,Mar 2025,2.4,2.5,2.8
13-May-2025,Apr 2025,2.3,2.4,2.4
11-Jun-2025,May 2025,2.4,2.3,2.3
15-Jul-2025,Jun 2025,2.7,2.6,2.4
13-Aug-2025,Jul 2025,2.9,2.8,2.7
NA,Aug 2025,NA,NA,NA
NA,Sep 2025,2.8,2.9,NA
NA,Oct 2025,NA,NA,NA
NA,Nov 2025,2.7,2.7,NA
11-Dec-2025,Nov 2025,2.7,2.7,2.7
14-Jan-2026,Dec 2025,2.7,2.7,2.7
11-Feb-2026,Jan 2026,2.4,2.5,2.7
12-Mar-2026,Feb 2026,2.4,2.4,2.4
