Release Date,Reference Period,Actual (MoM %),Forecast (MoM %),Previous (MoM %)
19-Feb-2021,Jan 2021,1.3,0.4,0.3
09-Mar-2021,Feb 2021,0.5,0.3,1.3
09-Apr-2021,Mar 2021,1.0,0.4,0.5
14-May-2021,Apr 2021,0.6,0.3,1.0
15-Jun-2021,May 2021,0.8,0.6,0.6
15-Jul-2021,Jun 2021,1.0,0.6,0.8
11-Aug-2021,Jul 2021,1.0,0.6,1.0
10-Sep-2021,Aug 2021,0.7,0.6,1.0
12-Oct-2021,Sep 2021,0.5,0.6,0.7
09-Nov-2021,Oct 2021,0.6,0.6,0.5
14-Dec-2021,Nov 2021,0.8,0.5,0.6
13-Jan-2022,Dec 2021,0.2,0.4,0.8
15-Feb-2022,Jan 2022,1.0,0.5,0.2
15-Mar-2022,Feb 2022,0.8,0.9,1.0
13-Apr-2022,Mar 2022,1.4,1.1,0.8
12-May-2022,Apr 2022,0.5,0.5,1.4
15-Jun-2022,May 2022,0.8,0.8,0.5
14-Jul-2022,Jun 2022,1.1,0.8,0.8
12-Aug-2022,Jul 2022,-0.5,-0.1,1.1
13-Sep-2022,Aug 2022,-0.1,-0.1,-0.5
12-Oct-2022,Sep 2022,0.4,0.2,-0.1
14-Nov-2022,Oct 2022,0.2,0.4,0.4
09-Dec-2022,Nov 2022,0.3,-0.2,0.2
18-Jan-2023,Dec 2022,-0.5,-0.1,0.3
16-Feb-2023,Jan 2023,0.7,0.4,-0.5
15-Mar-2023,Feb 2023,0.0,0.3,0.7
13-Apr-2023,Mar 2023,-0.5,-0.1,0.0
11-May-2023,Apr 2023,0.2,0.3,-0.5
14-Jun-2023,May 2023,-0.3,-0.1,0.2
12-Jul-2023,Jun 2023,0.1,0.2,-0.3
11-Aug-2023,Jul 2023,0.3,0.2,0.1
13-Sep-2023,Aug 2023,0.7,0.4,0.3
11-Oct-2023,Sep 2023,0.5,0.3,0.7
15-Nov-2023,Oct 2023,-0.5,0.1,0.5
13-Dec-2023,Nov 2023,0.0,0.1,-0.5
12-Jan-2024,Dec 2023,0.2,0.1,0.0
16-Feb-2024,Jan 2024,0.3,0.1,0.2
14-Mar-2024,Feb 2024,0.6,0.3,0.3
11-Apr-2024,Mar 2024,0.2,0.3,0.6
14-May-2024,Apr 2024,0.5,0.3,0.2
13-Jun-2024,May 2024,-0.2,0.1,0.5
11-Jul-2024,Jun 2024,0.2,0.2,-0.2
09-Aug-2024,Jul 2024,0.1,0.2,0.2
12-Sep-2024,Aug 2024,0.2,0.2,0.1
10-Oct-2024,Sep 2024,0.0,0.1,0.2
14-Nov-2024,Oct 2024,0.3,0.2,0.0
12-Dec-2024,Nov 2024,0.4,0.2,0.3
14-Jan-2025,Dec 2024,0.2,0.3,0.4
13-Feb-2025,Jan 2025,0.4,0.3,0.2
13-Mar-2025,Feb 2025,0.0,0.3,0.4
11-Apr-2025,Mar 2025,0.4,0.3,0.0
13-May-2025,Apr 2025,0.5,0.2,0.4
12-Jun-2025,May 2025,0.1,0.2,0.5
10-Jul-2025,Jun 2025,0.2,0.2,0.1
14-Aug-2025,Jul 2025,0.3,0.2,0.2
11-Sep-2025,Aug 2025,0.0,0.1,0.3
NA,Sep 2025,0.3,0.2,0.0
NA,Oct 2025,0.3,0.2,0.3
12-Nov-2025,Oct 2025,0.3,0.2,0.3
12-Dec-2025,Nov 2025,0.2,0.2,0.3
15-Jan-2026,Dec 2025,0.5,0.2,0.2
13-Feb-2026,Jan 2026,0.5,0.3,0.5
